ID,FIRST NAME,LAST NAME,ADDRESS,CITY,ZIP
727344064,FASSETT,DAINA,8614 LIPSEY PKWY,LEWISTON,55952
222743521,MCSHANE,MIKI,2220 KIEL PKWY,ROCHERT,56578
581993933,LAFAVE,GIANNA,5933 JAWORSKI RD,UTICA,55979
949638481,BULLER,TERISA,808 BLAZER BLVD,NEW GERMANY,55367
330287180,HOUSLEY,JAYMIE,3440 PAULUS ST,PUPOSKY,56667
516133562,GLIDEWELL,GAYNELLE,1251 REVELL AVE,ELMORE,56027
699061261,STANDRIDGE,KARENA,9801 LOWTHER ST,ALDEN,56009
125859470,CANCEL,SHARIE,8562 MCGAHA BLVD,CUSSON,55771
715174459,STCYR,JACELYN,6934 LAUDERDALE ST,MAPLE PLAIN,55576
250198926,ABSHER,LACHELLE,9569 REVELL ST,YOUNG AMERICA,55551
935075668,ANDINO,BLOSSOM,3045 LIPSEY AVE,FDCI,56399
564068468,BACKER,MARLINE,8517 DUDEK BLVD,SAINT PAUL,55128
525322350,CIMINO,MARAGRET,4331 SQUIRE ST,NORWOOD YOUNG AMERIC,55473
362170285,CLARE,JALISA,1035 TO RD,GOODVIEW,55987
370816642,REVELL,LALA,4492 MCCREADY ST,MINNEAPOLIS,55433
703782023,KOWALCZYK,MARIKO,1235 DUDEK ST,IRON,55751
902727979,DUSTIN,JANEE,8720 TELLES ST,SAINT LOUIS PARK,55416
801876079,HUNG,MENDY,7975 COLQUITT RD,PONTO LAKE,56474
968576745,CORUM,MILDA,9422 TYNES ST,MINNESOTA LK,56068
867948555,TEDFORD,SHANTELLE,1019 JAHNKE BLVD,WACONIA,55387
30358242,ALBIN,JOANNIE,9765 MCGAHA PKWY,BEAR LAKE,55723
574128035,CANCEL,ALEASE,7292 MCKINZIE AVE,DENNISON,55018
827424168,PAULUS,IVELISSE,5253 RISINGER RD,MAPLEWOOD,55144
207575842,SWAREY,RHONA,9537 TARTER PKWY,O BRIEN,56667
169266259,TEASLEY,TAISHA,2525 VANEGAS BLVD,ECHO,56237
93015344,BENEDETTO,MITZIE,1461 MARCHETTI PKWY,EYOTA,55934
840357451,RIENDEAU,GREGORY,9457 MARROW RD,ST ANTHONY VILLAGE,55421
183229836,VUONG,CLORINDA,498 HUDNALL PKWY,MINNEAPOLIS,55406
854349374,HERSHEY,MICA,6661 KNEPPER PKWY,KELLOGG,55945
204831563,GORDY,YASUKO,4172 MELNICK ST,WING RIVER,56481
989248896,BLACKMORE,DOMINICA,373 LIPSEY RD,NORWOOD YOUNG AMERIC,55553
360260254,MULVEY,MELDA,9501 LENHART ST,LAMOILLE,55987
102998729,ALBIN,DOMINICA,3270 GALLEGO RD,HAUGEN,55787
447598208,JOUBERT,APOLONIA,1854 FASSETT PKWY,SAUM,56650
643180102,FOXWORTH,BERNARDINE,5276 DIEGO BLVD,SAINT PAUL,55187
833517553,TAVAREZ,SAU,3493 LAFONTAINE ST,KILKENNY,56052
424976768,DAHLGREN,BECKI,3198 RABE PKWY,ALMELUND,55002
935158398,COLQUITT,LATOYIA,4999 RUEDA PKWY,PRESTON,55965
419405884,MAUNEY,BRETT,5693 RENSHAW PKWY,BIRCH BEACH,56686
456462927,LIPSEY,YASMINE,4183 CANCEL ST,ALMORA,56551
715973879,REVELL,SHANTELLE,4308 RISLEY RD,BAGLEY,56621
731292185,MARCHETTI,TREASA,9385 MANZANARES BLVD,FARDEN,56633
804487108,CLAYCOMB,AVERY,5455 NEVINS AVE,STACY,55079
539401005,STAMP,UTE,8039 ZITO PKWY,YOUNG AMERICA,55557
846661075,MENEFEE,JOANNIE,4350 HERTEL RD,JACOBSON,55752
151878613,MULVEY,KA,1006 GEBHART RD,SUNRISE,55056
988498289,LESHER,LUETTA,4838 CLARE PKWY,STUNTZ,55746
969628550,WALLEY,JACINDA,4329 DUDEK PKWY,VERMILION DAM,55771
34796783,WIGGS,LATRISHA,3596 NEVINS RD,NEVIS,56467
211471283,PILLOW,REYNALDA,7778 BARBIERI RD,MINNEAPOLIS,55470
642084802,BIGGERS,CHERY,8990 STRAHAN ST,MAPLE PLAIN,55593
